gene_id	Col0_leaf	rdr2_leaf	drm_leaf	Col0_CC	rdr2_CC	drm_CC	Col0_ME	rdr2_ME	drm_ME
AT2G29450	168.981	169.813	153.56	250.621	402.673	493.851	522.378	758.921	760.765
AT4G04020	206.695	222.116	231.387	22.2516	35.7078	37.2417	465.706	474.201	448.408
AT5G46170	9.06506	9.04527	8.01327	15.7704	25.1	30.8015	30.657	28.3607	26.9686
AT4G12000	41.6245	35.3146	35.9925	19.7588	31.4368	35.073	37.2549	48.6482	49.7287
AT3G62720	10.9797	10.8949	8.21271	11.5956	18.3807	21.8896	25.3826	37.3612	28.4778
AT1G47128	252.915	235.29	267.577	70.3836	111.37	142.191	354.303	333.081	370.761
AT3G07370	8.19105	9.24132	8.54576	10.2943	16.218	21.613	11.3834	12.6617	13.4843
AT4G19510	6.71683	6.82968	6.30869	2.1312	3.35464	3.46327	9.37975	8.91419	10.6405
AT4G34590	1.31706	0.804839	0.642718	5.23579	8.21661	13.2166	0.0811054	0.20423	0.0634915
AT1G55450	103.072	99.8864	80.7924	7.99079	12.5296	17.5647	370.672	578.01	516.462
AT5G43260	54.448	54.9868	63.156	10.8053	16.8949	19.1518	40.4453	52.7333	76.6237
AT3G27540	5.54937	4.67627	4.57197	13.9449	21.7527	26.8142	45.4283	34.3004	36.8306
AT5G13820	0.715435	0.600569	0.888394	3.39721	5.29199	7.11744	0.199003	0.522087	0.721149
AT3G10940	52.4239	63.8738	71.3744	5.44866	8.46357	12.4291	91.9471	86.5561	104.889
AT4G03430	6.71013	6.47149	6.79519	10.9508	16.922	19.3904	14.9424	25.4234	20.7396
AT4G08170	2.56024	3.13334	2.75277	56.9991	88.0695	126.539	9.05447	17.4716	12.968
AT1G35830	0.23461	0.393713	0.157271	4.15492	6.38216	8.79645	0.0729019	0.193734	0.0424833
AT4G11800	2.22427	2.09394	2.07999	3.28601	5.04305	5.60351	1.89528	1.99754	1.82983
AT2G23810	288.876	264.492	193.849	32.7129	50.1634	79.0297	772.071	1121.5	1107.67
AT1G56220	125.266	108.771	131.928	107.843	165.243	191.889	25.8845	36.0457	63.3828
AT3G49810	7.3822	5.73065	5.9174	12.3861	18.9631	23.6729	4.87712	4.15896	4.01585
AT5G58070	106.314	104.86	105.522	125.144	190.932	235.862	219.574	314.526	386.79
AT1G17380	8.44075	6.59231	4.46226	58.1971	88.7118	98.2102	38.6245	50.7926	54.5638
AT5G23130	6.92024	5.95802	4.65252	4.03641	6.13802	6.58052	8.01634	8.37993	6.79069
AT3G45640	87.1412	87.6446	57.1503	24.3225	36.8157	44.6647	441.695	499.945	481.698
AT5G49740	59.1498	52.2042	56.2153	2.65604	4.0201	4.58819	134.458	100.52	87.4516
AT4G31780	42.7132	44.0713	39.9901	33.0989	50.0579	59.7197	114.682	131.168	127.596
AT5G21990	7.05379	6.85195	7.81835	16.8175	25.4335	33.0763	14.1002	23.0842	20.7652
AT3G22200	13.9341	11.9095	12.4353	4.53522	6.85085	9.55439	8.73708	7.38317	8.83787
AT2G22430	66.5339	59.0265	66.6007	37.3291	56.2698	71.4285	46.1659	43.5266	48.1509
AT3G44260	44.0403	28.7256	18.4899	34.4461	51.8228	66.4512	285.053	195.778	230.911
AT5G54860	9.92281	8.44338	7.42305	9.64765	14.4803	19.107	25.1176	36.5987	32.5608
