GO	-log10(pvalue)	genes
GO:0006641	1.4080213012067242	AT5G04040
GO:0043447	1.4080213012067242	AT1G02205
GO:0000271	1.4080213012067242	AT3G62720
GO:0071731	1.4080213012067242	AT1G66400
GO:0030418	1.4080213012067242	AT5G04950
GO:0006529	1.4080213012067242	AT3G47340
GO:0000244	1.4080213012067242	AT4G03430
GO:0031407	1.4080213012067242	AT2G33380
GO:0019367	1.4080213012067242	AT1G75000
GO:0034626	1.4080213012067242	AT1G75000
GO:0034625	1.4080213012067242	AT1G75000
GO:0080181	1.4080213012067242	AT5G58070
GO:0009102	1.4080213012067242	AT3G22200
GO:0090351	1.3866275390246483	AT4G18010,AT4G00050
GO:0045893	1.3403579314152927	AT1G66230,AT5G47230,AT4G25490,AT5G28300,AT4G34590,AT2G22430
GO:0002213	1.3251770074444538	AT3G28740,AT3G44260
GO:0006821	1.3154824421467213	AT5G24030
GO:0006541	1.3154824421467213	AT3G22200
GO:1900366	1.3154824421467213	AT3G55970
GO:0071218	1.3154824421467213	AT3G07370
GO:0006651	1.3154824421467213	AT5G66450
GO:0051410	1.3154824421467213	AT5G22300
GO:0080144	1.3154824421467213	AT3G09770
GO:0006353	1.3154824421467213	AT5G20320
GO:0006081	1.3154824421467213	AT1G54100
GO:0015692	1.3154824421467213	AT2G23150
GO:1902065	1.3154824421467213	AT3G45640
GO:0006369	1.3154824421467213	AT5G43620
GO:1901562	1.3154824421467213	AT5G58070
GO:0033014	1.3154824421467213	AT1G09940
GO:0009416	1.3148800737121231	AT1G01120,AT1G30040,AT2G26250,AT4G00050,AT5G58070
GO:0006468	1.2988873346588934	AT1G51805,AT3G26700,AT1G72760,AT3G25250,AT3G08720,AT3G45640
GO:0031667	1.2406726043731284	AT2G20670
GO:0010155	1.2406726043731284	AT3G45780
GO:0032877	1.2406726043731284	AT3G10525
GO:0009636	1.2406726043731284	AT4G01070
GO:0006020	1.2406726043731284	AT3G22200
GO:0090333	1.2354212218161895	AT3G09770,AT1G47128
GO:0009740	1.2190920119684965	AT3G27810,AT2G20180
GO:0006970	1.2174567535333105	AT1G61340,AT2G04240,AT4G10310,AT3G45640
GO:0050832	1.206898067838335	AT1G51090,AT1G02205,AT2G33380,AT2G15890,AT1G47128
GO:0043617	1.178097477372123	AT3G47340
GO:0070085	1.178097477372123	AT4G20170
GO:0016131	1.178097477372123	AT2G03760
GO:0006044	1.178097477372123	AT3G27540
GO:0006542	1.178097477372123	AT3G53180
GO:0005996	1.178097477372123	AT1G63180
GO:0080028	1.178097477372123	AT5G48180
GO:1990961	1.130510108870485	AT1G61890,AT3G21690
GO:0000289	1.1244774474092207	AT3G44260
GO:0006873	1.1244774474092207	AT5G24030
GO:0001578	1.1244774474092207	AT2G25480
GO:1901642	1.1244774474092207	AT4G05110
GO:0051013	1.1244774474092207	AT1G61210
GO:0009943	1.1244774474092207	AT3G22200
GO:0015691	1.1244774474092207	AT2G23150
GO:0010106	1.1244774474092207	AT3G47640
GO:0006308	1.1244774474092207	AT1G68290
GO:0009247	1.1244774474092207	AT4G31780
GO:0051607	1.0914461712040624	AT3G61260,AT5G20320
GO:0010218	1.0790984076748538	AT1G13245,AT4G00050
GO:0009061	1.0776970963914083	AT2G36220
GO:0090627	1.0776970963914083	AT2G26250
GO:0007019	1.0776970963914083	AT1G61210
GO:2000038	1.0776970963914083	AT3G45640
GO:0051209	1.0776970963914083	AT3G55940
GO:0009733	1.0594239151235725	AT4G14550,AT4G27260,AT5G47230,AT2G20180,AT4G11280
GO:0042538	1.0439022200049657	AT5G50720,AT5G58070
GO:0010016	1.0363120317046992	AT2G30130
GO:0010161	1.0363120317046992	AT2G20180
GO:0019344	1.0363120317046992	AT3G13110
GO:0034051	1.0363120317046992	AT5G13190
GO:0006814	1.0363120317046992	AT4G10310
GO:0009875	1.0363120317046992	AT3G45640
GO:0010050	1.0363120317046992	AT5G20320
GO:0042742	1.0279060928900343	AT3G30775,AT1G02205,AT5G24110,AT3G10525,AT2G23150,AT3G44260
GO:0010205	0.999292026894454	AT4G04020
GO:0010444	0.999292026894454	AT3G50070
GO:0045727	0.999292026894454	AT3G08720
GO:0070370	0.999292026894454	AT5G07100
GO:0071249	0.999292026894454	AT5G60780
GO:0045487	0.999292026894454	AT1G30040
GO:0009616	0.999292026894454	AT5G20320
GO:0010438	0.999292026894454	AT5G48850
GO:0009788	0.980888911390942	AT1G09950,AT2G22430
GO:0006355	0.9761628719084255	AT4G14550,AT1G66230,AT2G30130,AT4G11140,AT5G07100,AT3G22830,AT5G47230,AT3G27810,AT2G20180,AT1G68670,AT5G28300,AT4G00050,AT3G47640,AT1G05690
GO:0010114	0.971238670849838	AT1G13245,AT1G30040
GO:0005985	0.9658764008566708	AT3G22200
GO:0010233	0.9658764008566708	AT5G04950
GO:0008283	0.9658764008566708	AT2G22860
GO:0009094	0.9658764008566708	AT1G66230
GO:0006779	0.9658764008566708	AT1G09940
GO:0006536	0.9658764008566708	AT3G22200
GO:0000288	0.9658764008566708	AT3G44260
GO:0009698	0.9658764008566708	AT3G53160
GO:0034755	0.93548748398234	AT2G23150
GO:0090110	0.93548748398234	AT2G23810
GO:1901141	0.93548748398234	AT1G66230
GO:0080136	0.93548748398234	AT3G45640
GO:1901001	0.93548748398234	AT3G49810
GO:0010439	0.93548748398234	AT5G48850
GO:0006828	0.93548748398234	AT2G23150
GO:0019375	0.93548748398234	AT4G31780
GO:0048366	0.9317919735957942	AT4G11140,AT3G13730,AT3G22200
GO:0009744	0.917781096488478	AT3G47340,AT4G34590
GO:0042542	0.917781096488478	AT5G24110,AT1G05690
GO:2000037	0.9076762445587172	AT3G45640
GO:0030497	0.9076762445587172	AT1G01120
GO:0010117	0.9076762445587172	AT4G04020
GO:0080086	0.9076762445587172	AT3G27810
GO:0030003	0.9076762445587172	AT2G23150
GO:0009687	0.9076762445587172	AT2G04240
GO:0006351	0.8936357883621737	AT1G09950,AT4G00050
GO:0009860	0.8860805111384005	AT1G63530,AT5G04950,AT3G22200
GO:0048829	0.8820867197215883	AT3G53180
GO:0010100	0.8820867197215883	AT2G20180
GO:0048015	0.8820867197215883	AT3G55940
GO:0006515	0.8820867197215883	AT3G07370
GO:0010267	0.8820867197215883	AT5G20320
GO:0034605	0.8710234773851904	AT5G07100,AT3G22830
